Municípios,Gentílico,PIB per capita,População
Japaraíba,mineiro,"22937,4 R$",4506 pessoas
Japonvar,mineiro,"9688,75 R$",8127 pessoas
Jeceaba,mineiro,"407353,2 R$",6197 pessoas
Jenipapo de Minas,mineiro,"10214,67 R$",6100 pessoas
Jequeri,mineiro,"15840,35 R$",12419 pessoas
Jequitaí,mineiro,"17614,92 R$",6484 pessoas
Jequitibá,mineiro,"24253,55 R$",5883 pessoas
Jequitinhonha,mineiro,"10754,52 R$",24007 pessoas
Jesuânia,mineiro,"21827,32 R$",5138 pessoas
Joaíma,mineiro,"10509,42 R$",13888 pessoas
Joanésia,mineiro,"25154,48 R$",4329 pessoas
João Monlevade,mineiro,"59963,67 R$",80187 pessoas
João Pinheiro,mineiro,"44929,59 R$",46801 pessoas
Joaquim Felício,mineiro,"15206,06 R$",3854 pessoas
Jordânia,mineiro,"9857,64 R$",10304 pessoas
José Gonçalves de Minas,mineiro,"11565,81 R$",3969 pessoas
José Raydan,mineiro,"14172,89 R$",4268 pessoas
Josenópolis,mineiro,"11815,85 R$",3630 pessoas
Juatuba,mineiro,"51653,48 R$",30716 pessoas
Juiz de Fora,mineiro,"35145,34 R$",540756 pessoas
Juramento,mineiro,"11839,64 R$",3768 pessoas
Juruaia,mineiro,"25392,25 R$",11084 pessoas
Juvenília,mineiro,"11502,41 R$",5789 pessoas
Ladainha,mineiro,"8063,14 R$",14383 pessoas
Lagamar,mineiro,"31961,94 R$",6631 pessoas
Lagoa da Prata,mineiro,"37310,73 R$",51412 pessoas
Lagoa dos Patos,mineiro,"14675,29 R$",3313 pessoas
Lagoa Dourada,mineiro,"26337,64 R$",12769 pessoas
Lagoa Formosa,mineiro,"31130,75 R$",18904 pessoas
Lagoa Grande,mineiro,"30214,48 R$",8969 pessoas
Lagoa Santa,mineiro,"32802,82 R$",75145 pessoas
Lajinha,mineiro,"20069,96 R$",20835 pessoas
Lambari,mineiro,"19293,34 R$",20414 pessoas
Lamim,mineiro,"15487,44 R$",3184 pessoas
Laranjal,mineiro,"13971,34 R$",5963 pessoas
Lassance,mineiro,"29649,11 R$",7124 pessoas
Lavras,mineiro,"27818,1 R$",104761 pessoas
Leandro Ferreira,mineiro,"17228,55 R$",3199 pessoas
Leme do Prado,mineiro,"13448,01 R$",4341 pessoas
Leopoldina,mineiro,"21124,06 R$",51145 pessoas
Liberdade,mineiro,"21553,54 R$",4737 pessoas
Lima Duarte,mineiro,"20279,44 R$",17221 pessoas
Limeira do Oeste,mineiro,"60582,62 R$",8687 pessoas
Lontra,mineiro,"9610,66 R$",8790 pessoas
Luisburgo,mineiro,"21249,6 R$",6956 pessoas
Luislândia,mineiro,"9721,43 R$",6210 pessoas
Luminárias,mineiro,"27448,05 R$",5586 pessoas
Luz,mineiro,"35908,88 R$",17875 pessoas
Machacalis,mineiro,"15811,47 R$",6487 pessoas
Machado,mineiro,"32188,05 R$",37684 pessoas
Madre de Deus de Minas,mineiro,"58993,52 R$",5191 pessoas
Malacacheta,mineiro,"12708,51 R$",17516 pessoas
Mamonas,mineiro,"9155,69 R$",5997 pessoas
Manga,mineiro,"13482,39 R$",18886 pessoas
Manhuaçu,mineiro,"35607,52 R$",91886 pessoas
Manhumirim,mineiro,"24613,19 R$",20613 pessoas
Mantena,mineiro,"17248,55 R$",26535 pessoas
Mar de Espanha,mineiro,"17526,23 R$",12721 pessoas
Maravilhas,mineiro,"28738,33 R$",7333 pessoas
Maria da Fé,mineiro,"14490,07 R$",14247 pessoas
Mariana,mineiro,"119155,4 R$",61387 pessoas
Marilac,mineiro,"14150,23 R$",4224 pessoas
Mário Campos,mineiro,"12520,55 R$",15900 pessoas
Maripá de Minas,mineiro,"24993,05 R$",3387 pessoas
Marliéria,mineiro,"14999,89 R$",4592 pessoas
Marmelópolis,mineiro,"15843,65 R$",3200 pessoas
